t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1781381401,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381431,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381461,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381491,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381521,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381551,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381581,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381611,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381641,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381671,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381701,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381731,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381761,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381791,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381821,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381851,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381882,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381912,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381942,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781381972,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382002,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382032,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382062,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382092,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382122,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382152,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382182,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382510,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382541,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382571,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382601,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382631,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382661,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382691,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382721,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382751,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382781,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382811,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382841,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382871,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382901,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382931,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382961,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781382991,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383021,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383051,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383081,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383111,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383141,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383171,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383201,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383231,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383261,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383291,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383321,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383351,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383381,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383411,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383441,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383471,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781383501,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398740,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398772,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398802,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398832,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398862,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398892,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398922,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398952,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781398982,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399012,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399042,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399072,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399102,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399132,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399162,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399192,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399222,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399252,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399282,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399312,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399342,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399372,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399670,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399702,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399732,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399762,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399792,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399822,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399852,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399882,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399912,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399942,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781399972,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400002,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400032,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400062,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400092,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400122,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400152,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400182,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400212,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400242,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400272,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400302,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400332,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400362,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400392,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400422,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400452,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400482,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400512,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400542,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400572,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400602,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400632,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400662,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400693,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400723,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400753,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400783,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400813,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400843,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400873,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400903,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400933,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400963,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781400993,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781401023,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781401053,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781401083,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781401113,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
