t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1781371260,1,0.037758309836557376,0.0,0.0,0.0,events/second
1781371290,1,0.01768498064430155,0.0,0.0,0.0,events/second
1781371320,1,0.011551631286715417,0.0,0.0,0.0,events/second
1781371350,1,0.008576677230791582,0.0,0.0,0.0,events/second
1781371380,1,0.00682116076481261,0.0,0.0,0.0,events/second
1781371410,1,0.005661821564184207,0.0,0.0,0.0,events/second
1781371440,1,0.0048393882650278885,0.0,0.0,0.0,events/second
1781371470,1,0.00422508312900701,0.0,0.0,0.0,events/second
1781371500,1,0.003749050805944324,0.0,0.0,0.0,events/second
1781371530,1,0.0033698650109853082,0.0,0.0,0.0,events/second
1781371560,1,0.003060356871752588,0.0,0.0,0.0,events/second
1781371590,1,0.0028028754116971666,0.0,0.0,0.0,events/second
1781371620,1,0.0025853842994800875,0.0,0.0,0.0,events/second
1781371650,1,0.002399210284963632,0.0,0.0,0.0,events/second
1781371680,1,0.0022380114201448168,0.0,0.0,0.0,events/second
1781371710,1,0.0020971808243271392,0.0,0.0,0.0,events/second
1781371740,1,0.001972970010958428,0.0,0.0,0.0,events/second
1781371770,1,0.001862638113566059,0.0,0.0,0.0,events/second
1781371800,1,0.0017639845562785188,0.0,0.0,0.0,events/second
1781371830,1,0.00167527175728642,0.0,0.0,0.0,events/second
1781371860,1,0.0015950542324404532,0.0,0.0,0.0,events/second
1781371890,1,0.0015221477636092778,0.0,0.0,0.0,events/second
1781371920,1,0.0014556406209582273,0.0,0.0,0.0,events/second
1781371950,1,0.0013947137401659692,0.0,0.0,0.0,events/second
1781371980,1,0.0013386658878358508,0.0,0.0,0.0,events/second
1781372010,1,0.001286950465873971,0.0,0.0,0.0,events/second
1781372040,1,0.0012391001588032747,0.0,0.0,0.0,events/second
1781372070,1,0.0011946728159528495,0.0,0.0,0.0,events/second
1781372100,1,0.001153303201897838,0.0,0.0,0.0,events/second
1781372130,1,0.001114708155674984,0.0,0.0,0.0,events/second
1781372160,1,0.001078614713564019,0.0,0.0,0.0,events/second
1781372190,1,0.0010447889512981646,0.0,0.0,0.0,events/second
1781372220,1,0.0010130107654424787,0.0,0.0,0.0,events/second
1781372250,1,9.831210065152204E-4,0.0,0.0,0.0,events/second
1781372280,1,9.549470508995096E-4,0.0,0.0,0.0,events/second
